2023-07-04 17:53:43,358 INFO pid=24168 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 17:53:43,358 INFO pid=24168 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-04 17:53:43,360 INFO pid=24168 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-04 17:53:43,361 INFO pid=24168 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-04 17:53:43,362 INFO pid=24168 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-04 17:54:24,137 INFO pid=22168 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 17:54:24,137 INFO pid=22168 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-04 17:54:24,138 INFO pid=22168 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-04 17:54:24,139 INFO pid=22168 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-04 17:54:24,140 INFO pid=22168 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-04 17:56:03,165 INFO pid=23008 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 17:56:03,165 INFO pid=23008 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-04 17:56:03,167 INFO pid=23008 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-04 17:56:03,168 INFO pid=23008 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-04 17:56:03,168 INFO pid=23008 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-04 19:39:56,253 INFO pid=28948 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 19:39:56,253 INFO pid=28948 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-04 19:39:56,255 INFO pid=28948 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-04 19:39:56,256 INFO pid=28948 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-04 19:39:56,256 INFO pid=28948 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-04 19:46:26,670 INFO pid=2244 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 19:46:26,671 INFO pid=2244 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-04 19:46:26,672 INFO pid=2244 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-04 19:46:26,674 INFO pid=2244 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-04 19:46:26,674 INFO pid=2244 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
